,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,46.0,45,20,19.57,CL,1615616962
1,emerald,-23.5333,148.1667,93.2,36,94,8.05,AU,1615617088
2,phan thiet,10.9333,108.1,87.75,52,14,14.97,VN,1615617088
3,kieta,-6.2167,155.6333,82.47,71,100,6.26,PG,1615617088
4,norman wells,65.282,-126.8329,-4.0,65,75,9.22,CA,1615617089
5,port lincoln,-34.7333,135.8667,62.06,55,25,21.92,AU,1615616966
6,limbang,4.75,115.0,75.2,100,75,2.3,MY,1615617089
7,hobart,-42.8794,147.3294,66.2,45,90,16.11,AU,1615616963
8,shangrao,28.4532,117.9686,64.33,75,100,4.29,CN,1615617090
9,ushuaia,-54.8,-68.3,41.0,93,75,43.73,AR,1615616790
10,avarua,-21.2078,-159.775,77.0,94,42,3.44,CK,1615617090
11,geraldton,-28.7667,114.6,91.4,27,0,17.27,AU,1615617078
12,elat,29.5581,34.9482,59.0,63,0,12.66,IL,1615617072
13,hithadhoo,-0.6,73.0833,83.82,60,0,5.37,MV,1615617091
14,torbay,47.6666,-52.7314,36.0,80,1,23.02,CA,1615617091
15,zabid,14.1951,43.3152,86.72,35,82,5.21,YE,1615617091
16,tiksi,71.6872,128.8694,-7.92,91,69,10.18,RU,1615617091
17,katsuura,35.1333,140.3,57.2,88,75,28.77,JP,1615617092
18,busselton,-33.65,115.3333,71.01,49,0,3.0,AU,1615617092
19,hobyo,5.3505,48.5268,83.37,62,43,15.55,SO,1615617092
20,wanaka,-44.7,169.15,58.87,71,0,8.05,NZ,1615617093
21,yugorsk,61.3133,63.3319,21.07,78,0,12.12,RU,1615617093
22,pinhao,-25.6956,-51.6597,54.7,92,0,2.98,BR,1615617093
23,jamestown,42.097,-79.2353,26.01,74,1,12.17,US,1615617032
24,dikson,73.5069,80.5464,-14.37,92,100,26.49,RU,1615617094
25,wadersloh,51.7333,8.25,43.0,87,100,8.99,DE,1615617094
26,atuona,-9.8,-139.0333,79.93,62,100,3.76,PF,1615617095
27,nauta,-4.5061,-73.5757,70.7,95,37,1.19,PE,1615617095
28,kavieng,-2.5744,150.7967,84.0,60,6,5.86,PG,1615617095
29,mataura,-46.1927,168.8643,59.07,81,0,1.36,NZ,1615617095
30,avera,33.194,-82.5271,61.0,94,1,5.53,US,1615617096
31,olafsvik,64.8945,-23.7142,29.88,70,56,19.15,IS,1615617096
32,leningradskiy,69.3833,178.4167,18.48,85,100,10.16,RU,1615616956
33,biak,-0.9131,122.8766,83.1,69,100,1.03,ID,1615617097
34,rikitea,-23.1203,-134.9692,79.66,76,26,9.51,PF,1615617097
35,fortuna,40.5982,-124.1573,48.0,87,90,3.44,US,1615617097
36,tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,12.66,CA,1615617097
37,meadow lake,34.8014,-106.5436,51.01,9,20,11.5,US,1615617098
38,castro,-24.7911,-50.0119,62.35,98,73,4.0,BR,1615617098
39,innisfail,-17.5333,146.0333,81.52,77,0,7.67,AU,1615617098
40,port alfred,-33.5906,26.891,91.76,33,4,13.71,ZA,1615617099
41,pangody,65.85,74.4859,6.89,82,100,21.7,RU,1615617099
42,ketchikan,55.3422,-131.6461,33.8,100,90,9.22,US,1615617099
43,vardo,70.3705,31.1107,23.54,83,100,14.23,NO,1615617100
44,qaanaaq,77.484,-69.3632,-1.66,69,99,5.19,GL,1615617100
45,havre-saint-pierre,50.2334,-63.5986,24.8,74,90,18.41,CA,1615617100
46,tricase,39.9304,18.3553,52.0,87,0,4.61,IT,1615617101
47,dhidhdhoo,6.8833,73.1,83.43,72,1,8.59,MV,1615617101
48,severo-kurilsk,50.6789,156.125,26.31,72,34,25.32,RU,1615617101
49,san quintin,30.4833,-115.95,51.69,71,0,10.6,MX,1615617102
50,vaini,-21.2,-175.2,75.2,94,75,4.61,TO,1615617102
51,hermanus,-34.4187,19.2345,64.99,85,78,5.99,ZA,1615617102
52,pahrump,36.2083,-115.9839,43.0,73,100,0.63,US,1615617103
53,maceio,-9.6658,-35.7353,73.4,94,40,4.61,BR,1615617103
54,ukiah,39.1502,-123.2078,46.4,61,1,1.88,US,1615617002
55,gaffney,35.0718,-81.6498,63.0,80,100,4.0,US,1615617103
56,nuevitas,21.5453,-77.2644,69.8,94,40,12.66,CU,1615617104
57,talara,-4.5772,-81.2719,76.44,74,99,7.58,PE,1615617004
58,bulgan,48.8125,103.5347,52.83,22,3,6.02,MN,1615617104
59,manggar,-2.8833,108.2667,83.55,73,20,5.17,ID,1615617104
60,thompson,55.7435,-97.8558,19.4,73,75,5.75,CA,1615617105
61,puerto ayora,-0.7393,-90.3518,75.99,93,0,1.01,EC,1615617105
62,cape town,-33.9258,18.4232,69.01,82,20,16.11,ZA,1615617084
63,victoria,22.2855,114.1577,78.8,50,20,13.8,HK,1615617105
64,bredasdorp,-34.5322,20.0403,64.4,82,1,3.44,ZA,1615617106
65,ternate,0.8,127.4,84.49,68,53,6.8,ID,1615617106
66,aconibe,1.2968,10.9369,71.71,83,100,1.63,GQ,1615617106
67,lata,40.1629,-8.3327,48.99,88,55,2.86,PT,1615616970
68,chokurdakh,70.6333,147.9167,-19.3,95,0,2.48,RU,1615617107
69,grand gaube,-20.0064,57.6608,86.0,61,7,8.99,MU,1615617107
70,vestmannaeyjar,63.4427,-20.2734,33.28,63,100,28.45,IS,1615617107
71,jalu,29.0331,21.5482,59.25,44,0,11.03,LY,1615617108
72,arrifes,37.7667,-25.7,59.0,88,75,9.22,PT,1615617108
73,malumfashi,11.7853,7.6218,76.64,17,96,3.49,NG,1615617108
74,einbeck,51.8167,9.8667,44.01,88,100,4.0,DE,1615617109
75,lithakia,37.7167,20.8333,41.0,93,40,3.47,GR,1615617109
76,lebu,-37.6167,-73.65,55.29,87,0,9.53,CL,1615617109
77,severodvinsk,64.5635,39.8302,14.0,57,0,8.95,RU,1615617110
78,krasnoselkup,65.7,82.4667,15.96,91,100,24.4,RU,1615617110
79,wladyslawowo,54.7909,18.4009,39.0,87,75,11.5,PL,1615617110
80,butaritari,3.0707,172.7902,81.5,76,7,11.14,KI,1615617111
81,new norfolk,-42.7826,147.0587,66.2,45,90,16.11,AU,1615617111
82,pevek,69.7008,170.3133,6.13,95,100,11.01,RU,1615617111
83,gizo,-8.103,156.8419,84.29,68,69,7.47,SB,1615617112
84,hofn,64.2539,-15.2082,34.88,58,100,30.98,IS,1615617112
85,faanui,-16.4833,-151.75,83.64,61,0,2.01,PF,1615617112
86,touros,-5.1989,-35.4608,75.2,88,40,3.44,BR,1615617113
87,dunedin,-45.8742,170.5036,60.01,79,0,5.01,NZ,1615617113
88,nanortalik,60.1432,-45.2371,15.58,58,95,6.93,GL,1615616983
89,farafangana,-22.8167,47.8333,76.68,78,98,9.82,MG,1615617113
90,albany,42.6001,-73.9662,32.0,41,65,7.0,US,1615617007
91,chuy,-33.6971,-53.4616,67.84,91,72,4.7,UY,1615617114
92,lodja,-3.4833,23.4333,77.7,83,100,3.15,CD,1615617114
93,gaptsakh,41.4517,47.9303,22.1,78,100,2.51,RU,1615617114
94,ust-kan,50.9276,84.761,11.68,90,100,5.39,RU,1615617115
95,khatanga,71.9667,102.5,-8.5,95,100,12.84,RU,1615617115
