,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,271.15,40,1,10.8,US,1615446322
1,povenets,62.8487,34.8262,256.24,88,0,1.89,RU,1615446323
2,puerto ayora,-0.7393,-90.3518,296.48,98,100,1.6,EC,1615446323
3,norman wells,65.282,-126.8329,263.15,67,75,6.17,CA,1615446323
4,saldanha,-33.0117,17.9442,290.15,78,75,5.14,ZA,1615446323
5,malakal,9.5334,31.6605,309.71,23,2,2.83,SS,1615446324
6,qaanaaq,77.484,-69.3632,257.81,78,0,2.16,GL,1615446324
7,bubaque,11.2833,-15.8333,298.67,57,63,6.35,GW,1615446324
8,dzerzhinsk,56.2389,43.4631,258.15,66,0,3.0,RU,1615446325
9,vila franca do campo,37.7167,-25.4333,289.15,88,75,6.69,PT,1615446325
10,sitka,57.0531,-135.33,277.15,70,90,6.17,US,1615446206
11,port elizabeth,-33.918,25.5701,292.15,88,75,4.12,ZA,1615446325
12,hobart,-42.8794,147.3294,292.15,68,71,6.69,AU,1615446326
13,rikitea,-23.1203,-134.9692,299.09,75,4,8.4,PF,1615446326
14,ngunguru,-35.6167,174.5,292.46,79,22,3.66,NZ,1615446327
15,ushuaia,-54.8,-68.3,278.15,75,75,16.46,AR,1615446094
16,yellowknife,62.456,-114.3525,247.59,84,1,1.54,CA,1615446067
17,los llanos de aridane,28.6585,-17.9182,291.15,59,90,5.66,ES,1615446327
18,pavino,59.1139,46.1414,263.79,94,97,4.92,RU,1615446327
19,serenje,-13.2325,30.2352,293.75,89,3,2.6,ZM,1615446328
20,hermanus,-34.4187,19.2345,290.37,93,100,0.45,ZA,1615446300
21,saint george,37.1041,-113.5841,278.71,81,75,2.57,US,1615446328
22,knysna,-34.0363,23.0471,291.15,77,20,2.57,ZA,1615446328
23,carnarvon,-24.8667,113.6333,303.15,66,0,6.17,AU,1615446329
24,zolotukhino,52.0842,36.3772,258.15,61,0,5.0,RU,1615446329
25,saint-georges,12.0564,-61.7485,298.15,83,20,5.14,GD,1615446329
26,santa helena de goias,-17.8136,-50.5969,293.14,92,100,2.4,BR,1615446227
27,cidreira,-30.1811,-50.2056,291.43,89,13,3.16,BR,1615446330
28,port hardy,50.6996,-127.4199,279.15,93,1,2.06,CA,1615446330
29,avarua,-21.2078,-159.775,298.15,94,85,0.51,CK,1615446330
30,mataura,-46.1927,168.8643,286.48,65,1,1.79,NZ,1615446331
31,mana,5.6592,-53.7767,297.66,89,100,4.79,GF,1615446331
32,albany,42.6001,-73.9662,279.15,81,90,5.66,US,1615446331
33,pitimbu,-7.4706,-34.8086,297.15,100,40,2.06,BR,1615446332
34,mahebourg,-20.4081,57.7,302.15,58,40,5.66,MU,1615446332
35,kapaa,22.0752,-159.319,295.37,100,90,1.54,US,1615446332
36,thompson,55.7435,-97.8558,256.15,71,90,5.66,CA,1615446263
37,yarmolyntsi,49.1924,26.8373,269.27,93,4,4.2,UA,1615446333
38,butaritari,3.0707,172.7902,300.71,77,55,4.57,KI,1615446333
39,ndola,-12.9587,28.6366,292.69,94,92,2.84,ZM,1615446333
40,hofn,64.2539,-15.2082,276.16,76,19,4.86,IS,1615446334
41,sabang,5.8933,95.3214,301.14,77,3,8.27,ID,1615446334
42,mar del plata,-38.0023,-57.5575,292.59,88,0,2.57,AR,1615446334
43,allapalli,19.4167,80.0667,311.96,17,0,2.3,IN,1615446335
44,qasigiannguit,68.8193,-51.1922,265.15,73,90,2.06,GL,1615446335
45,aswan,24.0934,32.907,301.82,23,0,3.56,EG,1615446335
46,stuttgart,48.7823,9.177,283.71,62,40,5.14,DE,1615446125
47,hilo,19.7297,-155.09,295.15,83,1,4.08,US,1615446188
48,bredasdorp,-34.5322,20.0403,291.15,82,40,2.57,ZA,1615446336
49,saint-philippe,-21.3585,55.7679,302.15,61,0,10.8,RE,1615446336
50,sakakah,29.9697,40.2064,297.15,17,0,6.69,SA,1615446337
51,atuona,-9.8,-139.0333,299.46,70,87,6.28,PF,1615446235
52,punta arenas,-53.15,-70.9167,280.15,76,75,15.43,CL,1615446337
53,satipo,-11.2522,-74.6386,292.92,83,58,0.64,PE,1615446337
54,sechura,-5.5569,-80.8222,298.7,63,21,4.12,PE,1615446338
55,vaini,-21.2,-175.2,297.15,83,20,3.6,TO,1615446338
56,seoul,37.5683,126.9778,291.15,33,100,4.63,KR,1615446338
57,khatanga,71.9667,102.5,248.12,88,100,10.45,RU,1615446339
58,bluff,-46.6,168.3333,286.48,65,0,1.79,NZ,1615446339
59,port alfred,-33.5906,26.891,292.04,95,100,1.79,ZA,1615446339
60,iqaluit,63.7506,-68.5145,245.37,69,1,3.09,CA,1615446340
61,georgetown,5.4112,100.3354,306.15,58,20,4.63,MY,1615446340
62,la ronge,55.1001,-105.2842,258.15,47,0,3.09,CA,1615446340
63,krasnokholm,51.5979,54.1567,254.99,89,0,4.39,RU,1615446340
64,atbasar,51.8,68.3333,262.23,92,70,10.2,KZ,1615446341
65,torbay,47.6666,-52.7314,270.93,93,20,10.29,CA,1615446328
66,busselton,-33.65,115.3333,297.04,81,100,0.89,AU,1615446341
67,tasiilaq,65.6145,-37.6368,263.15,67,100,4.12,GL,1615446342
68,sandwick,60.0,-1.25,280.15,87,75,4.12,GB,1615446342
69,talcahuano,-36.7167,-73.1167,285.15,100,20,1.54,CL,1615446342
70,izazi,-7.2,35.7333,294.15,68,20,0.43,TZ,1615446343
71,berlevag,70.8578,29.0864,263.15,73,100,12.86,NO,1615446191
72,denpasar,-8.65,115.2167,303.15,74,20,4.63,ID,1615446343
73,provideniya,64.3833,-173.3,249.15,70,0,2.0,RU,1615446344
74,algiers,36.7525,3.042,278.15,93,0,1.03,DZ,1615446159
75,hamilton,39.1834,-84.5333,289.82,44,40,7.2,US,1615446116
76,severo-kurilsk,50.6789,156.125,272.83,98,100,4.71,RU,1615446344
77,nanortalik,60.1432,-45.2371,268.49,93,100,7.41,GL,1615446344
78,kingaroy,-26.5333,151.8333,295.15,83,75,2.06,AU,1615446345
79,isangel,-19.55,169.2667,300.15,65,75,3.09,VU,1615446345
80,salalah,17.0151,54.0924,301.15,57,0,2.57,OM,1615446345
81,castro,-24.7911,-50.0119,287.41,93,1,1.26,BR,1615446064
82,hereford,52.0568,-2.7148,280.93,91,100,0.45,GB,1615446346
83,jamestown,42.097,-79.2353,287.15,30,90,5.5,US,1615446240
84,upernavik,72.7868,-56.1549,259.75,83,100,1.41,GL,1615446346
85,shimoda,34.6667,138.95,288.15,51,20,3.6,JP,1615446346
86,kanniyakumari,8.0833,77.5667,303.64,61,0,7.73,IN,1615446347
87,caravelas,-17.7125,-39.2481,295.68,90,0,2.87,BR,1615446347
88,kirkenaer,60.4564,12.0582,272.15,93,75,6.17,NO,1615446347
89,hithadhoo,-0.6,73.0833,300.05,75,27,4.5,MV,1615446348
90,kaitangata,-46.2817,169.8464,287.04,72,37,1.34,NZ,1615446348
91,lata,40.1629,-8.3327,285.93,97,100,0.63,PT,1615446348
92,wajima,37.4,136.9,284.15,54,0,2.06,JP,1615446349
93,faanui,-16.4833,-151.75,301.16,75,0,5.36,PF,1615446349
94,aasiaat,68.7098,-52.8699,261.81,96,100,2.18,GL,1615446349
95,arraial do cabo,-22.9661,-42.0278,296.75,83,100,1.88,BR,1615446350
96,kaeo,-35.1,173.7833,291.62,84,0,1.8,NZ,1615446350
97,nhulunbuy,-12.2333,136.7667,299.15,89,100,3.6,AU,1615446350
98,ponta do sol,32.6667,-17.1,286.48,69,69,1.34,PT,1615446351
99,weinan,34.5036,109.5089,289.82,62,0,2.0,CN,1615446351
100,port lincoln,-34.7333,135.8667,294.22,63,97,3.51,AU,1615446351
101,coquimbo,-29.9533,-71.3436,288.15,100,0,1.03,CL,1615446352
102,nikolskoye,59.7035,30.7861,260.37,66,0,4.0,RU,1615446352
103,airai,-8.9266,125.4092,292.93,100,100,0.66,TL,1615446352
104,ancud,-41.8697,-73.8203,284.26,93,0,1.54,CL,1615446353
105,alpena,45.0617,-83.4327,288.15,77,90,6.17,US,1615446353
106,lebu,-37.6167,-73.65,285.54,88,1,2.42,CL,1615446353
107,banjar,-8.19,114.9675,303.15,74,20,4.63,ID,1615446354
108,bilibino,68.0546,166.4372,245.69,77,50,1.33,RU,1615446354
109,palora,-1.7,-77.9333,291.79,91,100,0.92,EC,1615446354
110,masvingo,-20.0637,30.8277,297.9,47,0,1.22,ZW,1615446355
111,goure,13.9835,10.2704,304.26,5,100,3.13,NE,1615446355
112,boiro,42.65,-8.9,287.59,83,100,4.02,ES,1615446355
113,chokurdakh,70.6333,147.9167,246.96,86,100,2.78,RU,1615446356
114,buala,-8.145,159.5921,301.02,75,100,2.1,SB,1615446356
115,derzhavinsk,51.1,66.3167,259.09,93,83,10.54,KZ,1615446356
116,rio gallegos,-51.6226,-69.2181,283.15,37,40,9.77,AR,1615446357
117,bandarbeyla,9.4942,50.8122,300.26,64,3,5.1,SO,1615446357
118,east london,-33.0153,27.9116,296.15,68,0,4.63,ZA,1615446357
119,caronport,50.4501,-105.8179,267.15,79,100,7.72,CA,1615446357
120,uige,-7.6087,15.0613,294.78,89,31,1.19,AO,1615446358
121,camargo,27.6667,-105.1667,292.18,26,100,3.76,MX,1615446358
122,cabo san lucas,22.8909,-109.9124,292.04,72,0,0.39,MX,1615446282
123,tuktoyaktuk,69.4541,-133.0374,259.15,85,90,5.66,CA,1615446359
124,sao filipe,14.8961,-24.4956,293.5,75,100,5.92,CV,1615446359
125,bairiki,1.3292,172.9752,300.15,78,75,5.66,KI,1615446359
126,mikkeli,61.6886,27.2723,258.15,90,0,4.72,FI,1615446360
127,dali,25.7,100.1833,293.74,26,2,4.35,CN,1615446360
128,morant bay,17.8815,-76.4093,297.59,83,75,3.6,JM,1615446360
